"","x"
"995","겸양하다"
"996","거들다"
"997","대꾸하다"
"998","토하다"
"999","불사르다"
"1000","분개하다"
"1001","상심하다"
"1002","사라지다"
"1003","깃들다"
"1004","무찌르다"
"1005","대담하다"
"1006","내걸다"
"1007","묶이다"
"1008","풀려나다"
"1009","고변하다"
"1010","내디디다"
"1011","불러오다"
"1012","웅얼거리다"
"1013","부탁하다"
"1014","낫다"
"1015","끓다"
"1016","흘러가다"
"1017","침략하다"
"1018","뒤덮다"
"1019","폐하다"
"1020","접어들다"
"1021","째지다"
"1022","메다"
"1023","숙다"
"1024","얼다"
"1025","천하다"
"1026","도맡다"
"1027","꺼지다"
"1028","들고나다"
"1029","딸리다"
"1030","앗다"
"1031","뽐내다"
"1032","그러잖다"
"1033","난폭하다"
"1034","질리다"
"1035","매다"
"1036","불안하다"
"1037","눈감다"
"1038","옭다"
"1039","교유하다"
"1040","살아오다"
"1041","행사하다"
"1042","나타내다"
"1043","의존하다"
"1044","정당하다"
"1045","위압하다"
"1046","응용하다"
"1047","보완되다"
"1048","능가하다"
"1049","장악하다"
"1050","금지하다"
"1051","범하다"
"1052","곽하다"
"1053","지켜다"
"1054","조정되다"
"1055","끼여들다"
"1056","설득하다"
"1057","노리다"
"1058","우려하다"
"1059","터지다"
"1060","부딪다"
"1061","둘러서다"
"1062","자나다"
"1063","뭉치다"
"1064","부릅뜨다"
"1065","곤두서다"
"1066","받아치다"
"1067","드리우다"
"1068","잘못되다"
"1069","덤비다"
"1070","받아넘기다"
"1071","꿈틀거리다"
"1072","후비다"
"1073","밀어내다"
"1074","후리다"
"1075","차리다"
"1076","다가들다"
"1077","긋다"
"1078","되살리다"
"1079","빼들다"
"1080","때리다"
"1081","씩씩거리다"
"1082","흘겨보다"
"1083","고명하다"
"1084","덮치다"
"1085","가만있다"
"1086","단속하다"
"1087","팔리다"
"1088","빌려주다"
"1089","간여하다"
"1090","이러다"
"1091","달려들다"
"1092","궁하다"
"1093","탓하다"
"1094","들추다"
"1095","꽂다"
"1096","절다"
"1097","이다다"
"1098","고쳐다"
"1099","미워하다"
"1100","노려보다"
"1101","책망하다"
"1102","깨지다"
"1103","답례하다"
"1104","마지못하다"
"1105","제의하다"
"1106","금하다"
"1107","내키다"
"1108","건네주다"
"1109","지나치다"
"1110","불붙다"
"1111","성숙하다"
"1112","심다"
"1113","불러일으키다"
"1114","저항하다"
"1115","깔리다"
"1116","거역하다"
"1117","손되다"
"1118","뺏다"
"1119","두르다"
"1120","망설이다"
"1121","썰다"
"1122","바르다"
"1123","트다"
"1124","빨다"
"1125","혜하다"
"1126","거처하다"
"1127","눈멀다"
"1128","의심하다"
"1129","움츠리다"
"1130","떠돌아다니다"
"1131","은근하다"
"1132","맞닥뜨리다"
"1133","연마하다"
"1134","내오다"
"1135","박차다"
"1136","깨나다"
"1137","긁어모으다"
"1138","눕히다"
"1139","답하다"
"1140","불우하다"
"1141","봐주다"
"1142","의적하다"
"1143","분격하다"
"1144","들이닥치다"
"1145","감싸다"
"1146","독점하다"
"1147","붉히다"
"1148","끌어들이다"
"1149","눌리다"
"1150","애쓰다"
"1151","몰다"
"1152","잘못하다"
"1153","낙담하다"
"1154","외면하다"
"1155","해치다"
"1156","터트리다"
"1157","보증하다"
"1158","포함되다"
"1159","건들다"
"1160","넓히다"
"1161","눈뜨다"
"1162","굳어지다"
"1163","걸다"
"1164","친숙하다"
"1165","호형호제하다"
"1166","봉기하다"
"1167","결합되다"
"1168","창시되다"
"1169","깨치다"
"1170","반대하다"
"1171","띠다"
"1172","데려가다"
"1173","신비하다"
"1174","일컫다"
"1175","퍼뜨리다"
"1176","잦다"
"1177","태우다"
"1178","치료하다"
"1179","극복하다"
"1180","회개하다"
"1181","빠져나가다"
"1182","쓰이다"
"1183","애석하다"
"1184","신임하다"
"1185","싣다"
"1186","매수하다"
"1187","호응하다"
"1188","풀리다"
"1189","거사하다"
"1190","가두다"
"1191","충동하다"
"1192","벗기다"
"1193","일삼다"
"1194","되풀이하다"
"1195","겹치다"
"1196","어우러지다"
"1197","누다"
"1198","삼키다"
"1199","수리하다"
"1200","정비하다"
"1201","설치다"
"1202","맡다"
"1203","농락되다"
"1204","통솔하다"
"1205","적합하다"
"1206","윤허하다"
"1207","소탕하다"
"1208","논의하다"
"1209","속하다"
"1210","버려두다"
"1211","늘어놓다"
"1212","불태우다"
"1213","낙향하다"
"1214","유유자적하다"
"1215","총명하다"
"1216","사들이다"
"1217","다지다"
"1218","골몰하다"
"1219","비어지다"
"1220","맛보다"
"1221","부당하다"
"1222","가라앉다"
"1223","변호하다"
"1224","헤어나다"
"1225","펴지다"
"1226","죄다"
"1227","꾀하다"
"1228","소생되다"
"1229","걸리다"
"1230","내쫓다"
"1231","허물어지다"
"1232","재촉하다"
"1233","흡족하다"
"1234","따라서다"
"1235","철회하다"
"1236","출전하다"
"1237","쏟다"
"1238","점고하다"
"1239","돋보이다"
"1240","담기다"
"1241","마음먹다"
"1242","호위하다"
"1243","사재다"
"1244","묻히다"
"1245","들끓다"
"1246","단언하다"
"1247","짐작되다"
"1248","눌러앉다"
"1249","자시다"
"1250","천시하다"
"1251","들어앉다"
"1252","유리하다"
"1253","망하다"
"1254","실망하다"
"1255","충고하다"
"1256","경계하다"
"1257","조련되다"
"1258","터득하다"
"1259","주되다"
"1260","수비하다"
"1261","유지하다"
"1262","커지다"
"1263","안전하다"
"1264","끼이다"
"1265","위험하다"
"1266","출몰하다"
"1267","노략하다"
"1268","부추기다"
"1269","소란하다"
"1270","머무르다"
"1271","뛰어넘다"
"1272","군림하다"
"1273","무식하다"
"1274","오르내리다"
"1275","곁들이다"
"1276","뒤지다"
"1277","앞지르다"
"1278","임하다"
"1279","낭비하다"
"1280","종군하다"
"1281","쏠리다"
"1282","닮다"
"1283","사리다"
"1284","사랑하다"
"1285","가르다"
"1286","빗나가다"
"1287","당황하다"
"1288","빛나다"
"1289","청렴하다"
"1290","충직하다"
"1291","퇴청하다"
"1292","자세하다"
"1293","이해되다"
"1294","늦어지다"
"1295","모반하다"
"1296","납시다"
"1297","나붙다"
"1298","모여들다"
"1299","보내오다"
"1300","정예하다"
"1301","피다"
"1302","초모하다"
"1303","기약하다"
"1304","웅성거리다"
"1305","제거하다"
"1306","활용하다"
"1307","정색하다"
"1308","자아내다"
"1309","구별하다"
"1310","조직하다"
"1311","해보다"
"1312","빼내다"
"1313","퍼마시다"
"1314","의논하다"
"1315","멎다"
"1316","들려오다"
"1317","늘어뜨리다"
"1318","힘입다"
"1319","앉히다"
"1320","자수하다"
"1321","신무하다"
"1322","보답하다"
"1323","지탱하다"
"1324","요약하다"
"1325","승낙하다"
"1326","만발하다"
"1327","약속하다"
"1328","섞어다"
"1329","사르다"
"1330","굽다"
"1331","저버리다"
"1332","거르다"
"1333","설파하다"
"1334","자원하다"
"1335","돋우다"
"1336","발군하다"
"1337","얼르다"
"1338","근시하다"
"1339","수그러들다"
"1340","내려다보다"
"1341","날리다"
"1342","돌려주다"
"1343","그리하다"
"1344","변통하다"
"1345","떠들다"
"1346","되돌아오다"
"1347","배기다"
"1348","앗기다"
"1349","되돌리다"
"1350","칭송하다"
"1351","장식되다"
"1352","벼리다"
"1353","빈정거리다"
"1354","당도하다"
"1355","어루만지다"
"1356","산발하다"
"1357","대치하다"
"1358","반역하다"
"1359","휘날리다"
"1360","승승장구하다"
"1361","꼬나들다"
"1362","뒤집다"
"1363","꺽이다"
"1364","마주치다"
"1365","완전하다"
"1366","우쭐거리다"
"1367","함락되다"
"1368","달라다"
"1369","횡행하다"
"1370","건느다"
"1371","구원하다"
"1372","하채하다"
"1373","펼치다"
"1374","지정되다"
"1375","맞서다"
"1376","체하다"
"1377","쫓아오다"
"1378","역습하다"
"1379","뭉그러지다"
"1380","베이다"
"1381","밟히다"
"1382","대접하다"
"1383","달구다"
"1384","꺾이다"
"1385","들여보내다"
"1386","결의하다"
"1387","밝아지다"
"1388","처박히다"
"1389","번쩍이다"
"1390","장식하다"
"1391","특이하다"
"1392","접하다"
"1393","응대하다"
"1394","배이다"
"1395","무력하다"
"1396","누그러지다"
"1397","포위하다"
"1398","록하다"
"1399","감싸이다"
"1400","손하다"
"1401","설명하다"
"1402","경험하다"
"1403","신기다"
"1404","틀어지다"
"1405","불나다"
"1406","읽히다"
"1407","씨근대다"
"1408","대들다"
"1409","머금다"
"1410","잦아들다"
"1411","치하다"
"1412","기거하다"
"1413","몰아넣다"
"1414","찬동하다"
"1415","일치하다"
"1416","매복하다"
"1417","타오르다"
"1418","불어오다"
"1419","허둥거리다"
"1420","꿰다"
"1421","그을다"
"1422","합세하다"
"1423","옹위하다"
"1424","꾄다"
"1425","능하다"
"1426","합류하다"
"1427","밀려오다"
"1428","부치다"
"1429","우왕좌왕하다"
"1430","분해하다"
"1431","도착하다"
"1432","긴장하다"
"1433","뒤따라가다"
"1434","도리다"
"1435","작별하다"
"1436","되짚다"
"1437","투덜거리다"
"1438","되돌아가다"
"1439","호송하다"
"1440","뛰어내리다"
"1441","깍다"
"1442","쌔다"
"1443","거절하다"
"1444","합하다"
"1445","덮씌우다"
"1446","태만하다"
"1447","진노하다"
"1448","다루다"
"1449","잡혀가다"
"1450","좇다"
"1451","대패하다"
"1452","메우다"
"1453","근거하다"
"1454","계속되다"
"1455","밭다"
"1456","갈고다"
"1457","경호하다"
"1458","넘나들다"
"1459","관찰하다"
"1460","무례하다"
"1461","배은망덕하다"
"1462","요절내다"
"1463","머뭇거리다"
"1464","내밀다"
"1465","찾아들다"
"1466","고심하다"
"1467","맞아들이다"
"1468","찾아나서다"
"1469","가져오다"
"1470","거리다"
"1471","치켜들다"
"1472","발달하다"
"1473","반복되다"
"1474","곤두세우다"
"1475","베풀다"
"1476","참담하다"
"1477","기웃거리다"
"1478","시험하다"
"1479","약정되다"
"1480","되살아나다"
"1481","드날리다"
"1482","힘들이다"
"1483","구르다"
"1484","흑되다"
